,TMAX,TMIN,TAVG
2012-12-29,31.0,5.0,18.0
2012-12-30,39.0,11.0,25.0
2012-12-31,23.0,10.0,16.5
2013-01-01,27.0,5.0,16.0
2013-01-02,32.0,14.0,23.0
2013-01-03,34.0,12.0,23.0
2013-01-04,47.0,15.0,31.0
2013-01-05,37.0,16.0,26.5
2013-01-06,47.0,13.0,30.0
2013-01-07,51.0,24.0,37.5
2013-01-08,53.0,26.0,39.5
2013-01-09,60.0,22.0,41.0
2013-01-10,46.0,25.0,35.5
2013-01-11,43.0,0.0,21.5
2013-01-12,10.0,-12.0,-1.0
2013-01-13,11.0,-10.0,0.5
2013-01-14,12.0,-8.0,2.0
2013-01-15,35.0,-8.0,13.5
2013-01-16,48.0,23.0,35.5
2013-01-17,48.0,21.0,34.5
2013-01-18,59.0,29.0,44.0
2013-01-19,57.0,25.0,41.0
2013-01-20,46.0,15.0,30.5
2013-01-21,56.0,17.0,36.5
2013-12-31,58.0,30.0,44.0
2014-01-01,41.0,13.0,27.0
2014-01-02,42.0,11.0,26.5
2014-01-03,62.0,25.0,43.5
2014-01-04,38.0,6.0,22.0
2014-01-05,12.0,-10.0,1.0
2014-01-06,34.0,-8.0,13.0
2014-01-07,42.0,22.0,32.0
2014-01-08,38.0,18.0,28.0
2014-01-09,47.0,17.0,32.0
2014-01-10,41.0,22.0,31.5
2014-01-11,57.0,19.0,38.0
2014-01-12,45.0,25.0,35.0
2014-01-13,48.0,24.0,36.0
2014-01-14,39.0,17.0,28.0
2014-01-15,55.0,19.0,37.0
2014-01-16,44.0,24.0,34.0
2014-01-17,55.0,20.0,37.5
2014-01-18,54.0,27.0,40.5
2014-01-19,65.0,35.0,50.0
2014-01-20,47.0,22.0,34.5
2014-01-21,63.0,25.0,44.0
2014-12-15,43.0,17.0,30.0
2014-12-16,33.0,13.0,23.0
2014-12-17,40.0,19.0,29.5
2014-12-18,44.0,22.0,33.0
2014-12-19,46.0,22.0,34.0
2014-12-20,49.0,21.0,35.0
2014-12-21,54.0,24.0,39.0
2014-12-22,37.0,25.0,31.0
2014-12-23,34.0,19.0,26.5
2014-12-24,52.0,16.0,34.0
2014-12-25,46.0,19.0,32.5
2014-12-26,20.0,8.0,14.0
2014-12-27,26.0,5.0,15.5
2014-12-28,40.0,6.0,23.0
2014-12-29,21.0,1.0,11.0
2014-12-30,1.0,-19.0,-9.0
2014-12-31,30.0,-13.0,8.5
2015-01-01,26.0,5.0,15.5
2015-01-02,35.0,11.0,23.0
2015-01-03,35.0,-5.0,15.0
2015-01-04,36.0,-10.0,13.0
2015-01-05,56.0,-5.0,25.5
2015-01-06,49.0,20.0,34.5
2015-01-07,39.0,14.0,26.5
2015-01-08,49.0,19.0,34.0
2015-01-09,29.0,15.0,22.0
2015-01-10,56.0,22.0,39.0
2015-01-11,40.0,27.0,33.5
2015-01-12,28.0,22.0,25.0
2015-01-13,32.0,22.0,27.0
2015-01-14,41.0,19.0,30.0
2015-01-15,55.0,23.0,39.0
2015-01-16,60.0,30.0,45.0
2015-01-17,54.0,35.0,44.5
2015-01-18,63.0,37.0,50.0
2015-01-19,58.0,31.0,44.5
2015-01-20,43.0,26.0,34.5
2015-01-21,30.0,16.0,23.0
2015-12-15,25.0,12.0,18.5
2015-12-16,28.0,11.0,19.5
2015-12-17,20.0,0.0,10.0
2015-12-18,48.0,11.0,29.5
2015-12-19,52.0,24.0,38.0
2015-12-20,48.0,26.0,37.0
2015-12-21,46.0,24.0,35.0
2015-12-22,47.0,27.0,37.0
2015-12-23,37.0,21.0,29.0
2015-12-24,35.0,15.0,25.0
